lon,lat,bounds,time,lwe_thickness,land_mask
116.25,39.75,0,2013-12-16 12:00:00,-8.364901869039791,1.0
116.25,39.75,0,2014-01-09 12:00:00,-9.894936828356045,1.0
116.25,39.75,0,2014-02-09 12:00:00,-9.894936828356045,1.0
116.25,39.75,0,2014-03-16 12:00:00,-9.495938538055675,1.0
116.25,39.75,0,2014-04-16 00:00:00,-12.223908333521145,1.0
116.25,39.75,0,2014-05-16 12:00:00,-12.365671841841,1.0
116.25,39.75,0,2014-06-13 00:00:00,-16.406102506857174,1.0
116.25,39.75,0,2014-07-13 00:00:00,-18.12424,1.0
116.25,39.75,0,2014-08-16 12:00:00,-20.74705156538989,1.0
116.25,39.75,0,2014-09-16 00:00:00,-22.19735035155322,1.0
116.25,39.75,0,2014-10-16 12:00:00,-22.72555646155383,1.0
116.25,39.75,0,2014-11-17 00:00:00,-23.710301487188595,1.0
116.25,39.75,0,2014-12-17 00:00:00,-24.710301487188595,1.0
116.25,39.75,0,2015-01-22 12:00:00,-25.486517636518734,1.0
116.25,39.75,0,2015-02-15 00:00:00,-27.156083671789425,1.0
116.25,39.75,0,2015-03-16 12:00:00,-28.075708000402706,1.0
116.25,39.75,0,2015-04-16 00:00:00,-27.518216101866024,1.0
116.25,39.75,0,2015-05-27 00:00:00,-29.39043912146594,1.0
116.25,39.75,0,2015-06-27 00:00:00,-30.39043912146594,1.0
116.25,39.75,0,2015-07-15 12:00:00,-28.667337624769466,1.0
116.25,39.75,0,2015-08-16 12:00:00,-29.445509760122555,1.0
116.25,39.75,0,2015-09-14 12:00:00,-29.635211436491268,1.0
116.25,39.75,0,2015-10-14 12:00:00,-28.635211436491268,1.0
116.25,39.75,0,2015-11-14 12:00:00,-27.635211436491268,1.0
116.25,39.75,0,2015-12-23 12:00:00,-27.31477627013232,1.0
116.25,39.75,0,2016-01-16 12:00:00,-37.45757147524859,1.0
116.25,39.75,0,2016-02-14 00:00:00,-28.868300049047726,1.0
116.25,39.75,0,2016-03-16 12:00:00,-23.311405389051693,1.0
116.25,39.75,0,2016-04-16 12:00:00,-25.311405389051693,1.0
116.25,39.75,0,2016-05-20 00:00:00,-27.61082884524371,1.0
116.25,39.75,0,2016-06-16 00:00:00,-30.972978083830135,1.0
116.25,39.75,0,2016-07-15 12:00:00,-26.524735538702267,1.0
116.25,39.75,0,2016-08-21 12:00:00,-18.440693227987545,1.0
116.25,39.75,0,2016-09-21 12:00:00,-19.440693227987545,1.0
116.25,39.75,0,2016-10-21 12:00:00,-20.440693227987545,1.0
116.25,39.75,0,2016-11-27 12:00:00,-21.703001706342953,1.0
116.25,39.75,0,2016-12-24 12:00:00,-22.126812665205257,1.0
116.25,39.75,0,2017-01-21 00:00:00,-22.363730756979244,1.0
116.25,39.75,0,2017-02-21 00:00:00,-23.363730756979244,1.0
116.25,39.75,0,2017-03-31 12:00:00,-24.133320181112545,1.0
116.25,39.75,0,2017-04-24 12:00:00,-25.965313999395626,1.0
116.25,39.75,0,2017-05-12 12:00:00,-26.627007572393673,1.0
116.25,39.75,0,2017-06-11 00:00:00,-28.469929663877743,1.0
116.25,39.75,0,2017-07-11 00:00:00,-27.469929663877743,1.0
116.25,39.75,0,2017-08-11 00:00:00,-29.469929663877743,1.0
116.25,39.75,0,2017-09-11 00:00:00,-30.469929663877743,1.0
116.25,39.75,0,2017-10-11 00:00:00,-29.469929663877743,1.0
116.25,39.75,0,2017-11-11 00:00:00,-27.469929663877743,1.0
116.25,39.75,0,2017-12-11 00:00:00,-28.469929663877743,1.0
116.25,39.75,0,2018-01-11 00:00:00,-27.469929663877743,1.0
116.25,39.75,0,2018-02-11 00:00:00,-28.469929663877743,1.0
116.25,39.75,0,2018-03-11 00:00:00,-27.469929663877743,1.0
116.25,39.75,0,2018-04-11 00:00:00,-26.469929663877743,1.0
116.25,39.75,0,2018-05-11 00:00:00,-29.469929663877743,1.0
116.25,39.75,0,2018-06-16 00:00:00,-31.723936884145992,1.0
116.25,39.75,0,2018-07-10 00:00:00,-30.07315155718829,1.0
116.25,39.75,0,2018-08-10 00:00:00,-29.07315155718829,1.0
116.25,39.75,0,2018-09-10 00:00:00,-27.07315155718829,1.0
